artist,convertedManaCost,loyalty,manaCost,name,power,prices/paper/2019-07-14,rarity,text,toughness,type,,
Aaron Miller,1,,{W},Snubhorn Sentry,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.)
Snubhorn Sentry gets +3/+0 as long as you have the city's blessing.",Creature — Dinosaur,0,0.24,common,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.)
Snubhorn Sentry gets +3/+0 as long as you have the city's blessing.",3,Creature — Dinosaur
Adam Paquette,2,,{2},Damping Sphere,,1.18,uncommon,"If a land is tapped for two or more mana, it produces {C} instead of any other type and amount.
Each spell a player casts costs {1} more to cast for each other spell that player has cast this turn.",,Artifact,,
Adam Paquette,5,,{4}{R},Fiery Intervention,,0.15,common,"Choose one —
• Fiery Intervention deals 5 damage to target creature.
• Destroy target artifact.",,Sorcery,,
Adam Paquette,4,,{3}{U},Precognition Field,,0.38,rare,"You may look at the top card of your library any time.
You may cast the top card of your library if it's an instant or sorcery card.
{3}: Exile the top card of your library.",,Enchantment,,
Adam Paquette,3,,{2}{G},Sylvan Awakening,,0.49,rare,"Until your next turn, all lands you control become 2/2 Elemental creatures with reach, indestructible, and haste. They're still lands.",,Sorcery,,
Adam Paquette,5,,{3}{G}{G},The Mending of Dominaria,,0.49,rare,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I, II — Put the top two cards of your library into your graveyard, then you may return a creature card from your graveyard to your hand.
III — Return all land cards from your graveyard to the battlefield, then shuffle your graveyard into your library.",,Enchantment — Saga,,
Adam Paquette,0,,{X},Chamber Sentry,0,0.47,rare,"Chamber Sentry enters the battlefield with a +1/+1 counter on it for each color of mana spent to cast it.
{X}, {T}, Remove X +1/+1 counters from Chamber Sentry: It deals X damage to any target.
{W}{U}{B}{R}{G}: Return Chamber Sentry from your graveyard to your hand.",0,Artifact Creature — Construct,,
Adam Paquette,3,,{1}{R}{W},Deafening Clarion,,1.25,rare,"Choose one or both —
• Deafening Clarion deals 3 damage to each creature.
• Creatures you control gain lifelink until end of turn.",,Sorcery,,
Adam Paquette,6,,{6},Gatekeeper Gargoyle,3,0.15,uncommon,"Flying
Gatekeeper Gargoyle enters the battlefield with a +1/+1 counter on it for each Gate you control.",3,Artifact Creature — Gargoyle,,
Adam Paquette,0,,,Guildmages' Forum,,0.45,rare,"{T}: Add {C}.
{1}, {T}: Add one mana of any color. If that mana is spent on a multicolored creature spell, that creature enters the battlefield with an additional +1/+1 counter on it.",,Land,,
Adam Paquette,2,,{1}{B},Mausoleum Secrets,,0.61,rare,"Undergrowth — Search your library for a black card with converted mana cost less than or equal to the number of creature cards in your graveyard, reveal it, put it into your hand, then shuffle your library.",,Instant,,
Adam Paquette,0,,,Sacred Foundry,,8.86,rare,"({T}: Add {R} or {W}.)
As Sacred Foundry enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.",,Land — Mountain Plains,,
Adam Paquette,0,,,Detection Tower,,0.99,rare,"{T}: Add {C}.
{1}, {T}: Until end of turn, your opponents and creatures your opponents control with hexproof can be the targets of spells and abilities you control as though they didn't have hexproof.",,Land,,
Adam Paquette,3,,{3},Dragon's Hoard,,1.15,rare,"Whenever a Dragon enters the battlefield under your control, put a gold counter on Dragon's Hoard.
{T}, Remove a gold counter from Dragon's Hoard: Draw a card.
{T}: Add one mana of any color.",,Artifact,,
Adam Paquette,0,,,Forest,,0.15,common,({T}: Add {G}.),,Basic Land — Forest,,
Adam Paquette,1,,{1},Fountain of Renewal,,0.89,uncommon,"At the beginning of your upkeep, you gain 1 life.
{3}, Sacrifice Fountain of Renewal: Draw a card.",,Artifact,,
Adam Paquette,2,,{1}{R},Lightning Strike,,0.24,uncommon,Lightning Strike deals 3 damage to any target.,,Instant,,
Adam Paquette,3,,{2}{U},"Sai, Master Thopterist",1,2.99,rare,"Whenever you cast an artifact spell, create a 1/1 colorless Thopter artifact creature token with flying.
{1}{U}, Sacrifice two artifacts: Draw a card.",4,Legendary Creature — Human Artificer,,
Adam Paquette,3,,{3},Skyscanner,1,0.15,common,"Flying
When Skyscanner enters the battlefield, draw a card.",1,Artifact Creature — Thopter,,
Adam Paquette,0,,,Blood Crypt,,12.39,rare,"({T}: Add {B} or {R}.)
As Blood Crypt enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.",,Land — Swamp Mountain,,
Adam Paquette,4,,{4},Dovin's Automaton,3,0.21,uncommon,"As long as you control a Dovin planeswalker, Dovin's Automaton gets +2/+2 and has vigilance. (Attacking doesn't cause it to tap.)",3,Artifact Creature — Homunculus,,
Adam Paquette,0,,,Simic Guildgate,,0.15,common,"Simic Guildgate enters the battlefield tapped.
{T}: Add {G} or {U}.",,Land — Gate,,
Adam Paquette,0,,,Simic Guildgate,,0.15,common,"Simic Guildgate enters the battlefield tapped.
{T}: Add {G} or {U}.",,Land — Gate,,
Adam Paquette,0,,,Swamp,,0.23,common,({T}: Add {B}.),,Basic Land — Swamp,,
Adam Paquette,2,,{1}{U},Wall of Lost Thoughts,0,0.25,uncommon,"Defender
When Wall of Lost Thoughts enters the battlefield, target player puts the top four cards of their library into their graveyard.",4,Creature — Wall,,
Adam Rex,3,,{3},Magistrate's Scepter,,0.49,rare,"{4}, {T}: Put a charge counter on Magistrate's Scepter.
{T}, Remove three charge counters from Magistrate's Scepter: Take an extra turn after this one.",,Artifact,,
Adrian Majkrzak,2,,{2},Elaborate Firecannon,,0.25,uncommon,"Elaborate Firecannon doesn't untap during your untap step.
{4}, {T}: Elaborate Firecannon deals 2 damage to any target.
At the beginning of your upkeep, you may discard a card. If you do, untap Elaborate Firecannon.",,Artifact,,
Alayna Danner,1,,{1},Bloodtallow Candle,,0.15,common,"{6}, {T}, Sacrifice Bloodtallow Candle: Target creature gets -5/-5 until end of turn.",,Artifact,,
Alayna Danner,2,,{2},Jousting Lance,,0.15,common,"Equipped creature gets +2/+0.
As long as it's your turn, equipped creature has first strike.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)",,Artifact — Equipment,,
Alayna Danner,3,,{2}{G},Pause for Reflection,,0.15,common,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Prevent all combat damage that would be dealt this turn.",,Instant,,
Alayna Danner,0,,,Dragonskull Summit,,4.29,rare,"Dragonskull Summit enters the battlefield tapped unless you control a Swamp or a Mountain.
{T}: Add {B} or {R}.",,Land,,
Alayna Danner,1,,{R},Alpine Moon,,1,rare,"As Alpine Moon enters the battlefield, choose a nonbasic land card name.
Lands your opponents control with the chosen name lose all land types and abilities, and they gain ""{T}: Add one mana of any color.""",,Enchantment,,
Alayna Danner,2,,{2},Diamond Mare,1,0.25,uncommon,"As Diamond Mare enters the battlefield, choose a color.
Whenever you cast a spell of the chosen color, you gain 1 life.",3,Artifact Creature — Horse,,
Alayna Danner,4,,{3}{U},Riverwise Augur,"When Riverwise Augur enters the battlefield, draw three cards, then put two cards from your hand on top of your library in any order.",Creature — Merfolk Wizard,2,0.25,uncommon,"When Riverwise Augur enters the battlefield, draw three cards, then put two cards from your hand on top of your library in any order.",2,Creature — Merfolk Wizard
Alex Konstad,2,,{1}{W},Adamant Will,,0.15,common,"Target creature gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",,Instant,,
Alex Konstad,2,,{1}{R},Orcish Vandal,1,0.21,uncommon,"{T}, Sacrifice an artifact: Orcish Vandal deals 2 damage to any target.",1,Creature — Orc Warrior,,
Alex Konstad,3,,{1}{B}{G},"Slimefoot, the Stowaway",2,0.28,uncommon,"Whenever a Saproling you control dies, Slimefoot, the Stowaway deals 1 damage to each opponent and you gain 1 life.
{4}: Create a 1/1 green Saproling creature token.",3,Legendary Creature — Fungus,,
Alex Konstad,3,,{2}{R},Legion Warboss,2,5.75,rare,"Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)
At the beginning of combat on your turn, create a 1/1 red Goblin creature token. That token gains haste until end of turn and attacks this combat if able.",2,Creature — Goblin Soldier,,
Alex Konstad,6,,{4}{W}{W},Light of the Legion,5,0.35,rare,"Flying
Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)
When Light of the Legion dies, put a +1/+1 counter on each white creature you control.",5,Creature — Angel,,
Alex Konstad,7,,{6}{B},Lotleth Giant,6,0.2,uncommon,"Undergrowth — When Lotleth Giant enters the battlefield, it deals 1 damage to target opponent for each creature card in your graveyard.",5,Creature — Zombie Giant,,
Alex Konstad,1,,{G},Might of the Masses,,0.2,uncommon,Target creature gets +1/+1 until end of turn for each creature you control.,,Instant,,
Alex Konstad,3,,{1}{B/G}{B/G},Pitiless Gorgon,2,0.15,common,Deathtouch,2,Creature — Gorgon,,
Alex Konstad,1,,{X}{U},Selective Snare,,0.2,uncommon,Return X target creatures of the creature type of your choice to their owner's hand.,,Sorcery,,
Alex Konstad,2,,{1}{U},Jace's Sentinel,1,0.25,uncommon,"As long as you control a Jace planeswalker, Jace's Sentinel gets +1/+0 and can't be blocked.",3,Creature — Merfolk Warrior,,
Alex Konstad,2,,{1}{G},River Heralds' Boon,,0.15,common,Put a +1/+1 counter on target creature and a +1/+1 counter on up to one target Merfolk.,,Instant,,
Alex Konstad,6,,{4}{R}{R},"Lathliss, Dragon Queen",6,1.73,rare,"Flying
Whenever another nontoken Dragon enters the battlefield under your control, create a 5/5 red Dragon creature token with flying.
{1}{R}: Dragons you control get +1/+0 until end of turn.",6,Legendary Creature — Dragon,,
Alex Konstad,2,,{1}{G},Ursine Champion,2,0.2,common,{5}{G}: Ursine Champion gets +3/+3 and becomes a Bear Berserker until end of turn. Activate this ability only once each turn.,2,Creature — Human Berserker,,
Alex Konstad,4,,{2}{G}{G},Vine Mare,5,0.5,uncommon,"Hexproof (This creature can't be the target of spells or abilities your opponents control.)
Vine Mare can't be blocked by black creatures.",3,Creature — Elemental Horse,,
Alex Konstad,3,,{2}{U},Coral Commando,3,0.14,common,,2,Creature — Merfolk Warrior,,
Alex Konstad,3,,{2}{R},Bombard,Bombard deals 4 damage to target creature.,Instant,,0.15,common,Bombard deals 4 damage to target creature.,,Instant
Alex Konstad,1,,{G},Jade Bearer,"When Jade Bearer enters the battlefield, put a +1/+1 counter on another target Merfolk you control.",Creature — Merfolk Shaman,1,0.18,common,"When Jade Bearer enters the battlefield, put a +1/+1 counter on another target Merfolk you control.",1,Creature — Merfolk Shaman
Alexander Forssberg,4,,{3}{W},Candlelight Vigil,,0.15,common,"Enchant creature
Enchanted creature gets +3/+2 and has vigilance.",,Enchantment — Aura,,
Alexander Forssberg,2,,{1}{U},Drowned Secrets,,0.51,rare,"Whenever you cast a blue spell, target player puts the top two cards of their library into their graveyard.",,Enchantment,,
Alexander Forssberg,0,,,Gruul Guildgate,,0.15,common,"Gruul Guildgate enters the battlefield tapped.
{T}: Add {R} or {G}.",,Land — Gate,,
Alexander Forssberg,0,,,Gruul Guildgate,,0.15,common,"Gruul Guildgate enters the battlefield tapped.
{T}: Add {R} or {G}.",,Land — Gate,,
Anastasia Ovchinnikova,2,,{2},Suspicious Bookcase,0,0.25,uncommon,"Defender (This creature can't attack.)
{3}, {T}: Target creature can't be blocked this turn.",4,Artifact Creature — Wall,,
Anastasia Ovchinnikova,3,,{2}{B},Pestilent Spirit,3,0.52,rare,"Menace, deathtouch
Instant and sorcery spells you control have deathtouch. (Any amount of damage they deal to a creature is enough to destroy it.)",2,Creature — Spirit,,
Andreas Rocha,0,,,Island,,0.16,common,({T}: Add {U}.),,Basic Land — Island,,
Andreas Rocha,0,,,Mountain,,0.15,common,({T}: Add {R}.),,Basic Land — Mountain,,
Andreas Rocha,0,,,Plains,,0.15,common,({T}: Add {W}.),,Basic Land — Plains,,
Anna Steinbauer,4,,{2}{R}{G},Grand Warlord Radha,3,0.49,rare,"Haste
Whenever one or more creatures you control attack, add that much mana in any combination of {R} and/or {G}. Until end of turn, you don't lose this mana as steps and phases end.",4,Legendary Creature — Elf Warrior,,
Anna Steinbauer,3,,{2}{U},Unwind,,0.25,common,Counter target noncreature spell. Untap up to three lands.,,Instant,,
Anna Steinbauer,3,,{1}{B}{G},Ochran Assassin,1,0.22,uncommon,"Deathtouch
All creatures able to block Ochran Assassin do so.",1,Creature — Elf Assassin,,
Anna Steinbauer,3,,{2}{B},Plaguecrafter,3,0.59,uncommon,"When Plaguecrafter enters the battlefield, each player sacrifices a creature or planeswalker. Each player who can't discards a card.",2,Creature — Human Shaman,,
Anna Steinbauer,2,,{U}{B},Thought Erasure,,0.97,uncommon,"Target opponent reveals their hand. You choose a nonland card from it. That player discards that card.
Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",,Sorcery,,
Anna Steinbauer,5,,{3}{B}{G},Underrealm Lich,4,2.04,mythic,"If you would draw a card, instead look at the top three cards of your library, then put one into your hand and the rest into your graveyard.
Pay 4 life: Underrealm Lich gains indestructible until end of turn. Tap it.",3,Creature — Zombie Elf Shaman,,
Anna Steinbauer,3,,{2}{B},Veiled Shade,2,0.14,common,{1}{B}: Veiled Shade gets +1/+1 until end of turn.,2,Creature — Shade,,
Anna Steinbauer,2,,{1}{W},Adanto Vanguard,1,0.34,uncommon,"As long as Adanto Vanguard is attacking, it gets +2/+0.
Pay 4 life: Adanto Vanguard gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",1,Creature — Vampire Soldier,,
Anna Steinbauer,6,4,{4}{R}{W},"Huatli, Dinosaur Knight",,,mythic,"[+2]: Put two +1/+1 counters on up to one target Dinosaur you control.
[−3]: Target Dinosaur you control deals damage equal to its power to target creature you don't control.
[−7]: Dinosaurs you control get +4/+4 until end of turn.",,Legendary Planeswalker — Huatli,,
Anna Steinbauer,7,,{5}{G}{U},"Tishana, Voice of Thunder",*,1.66,mythic,"Tishana, Voice of Thunder's power and toughness are each equal to the number of cards in your hand.
You have no maximum hand size.
When Tishana enters the battlefield, draw a card for each creature you control.",*,Legendary Creature — Merfolk Shaman,,
Anna Steinbauer,5,,{4}{B},Epicure of Blood,4,0.18,common,"Whenever you gain life, each opponent loses 1 life.",4,Creature — Vampire,,
Anna Steinbauer,5,5,{3}{G}{G},Vivien Reid,,9.32,mythic,"[+1]: Look at the top four cards of your library. You may reveal a creature or land card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.
[−3]: Destroy target artifact, enchantment, or creature with flying.
[−8]: You get an emblem with ""Creatures you control get +2/+2 and have vigilance, trample, and indestructible.""",,Legendary Planeswalker — Vivien,,
Anthony Palumbo,5,,{4}{W},Blessed Light,,0.15,common,Exile target creature or enchantment.,,Instant,,
Anthony Palumbo,2,,{1}{R},Ghitu Chronicler,1,0.15,common,"Kicker {3}{R} (You may pay an additional {3}{R} as you cast this spell.)
When Ghitu Chronicler enters the battlefield, if it was kicked, return target instant or sorcery card from your graveyard to your hand.",3,Creature — Human Wizard,,
Anthony Palumbo,1,,{W},Tragic Poet,1,0.15,common,"{T}, Sacrifice Tragic Poet: Return target enchantment card from your graveyard to your hand.",1,Creature — Human,,
Anthony Palumbo,2,,{1}{B},Vicious Offering,,0.17,common,"Kicker—Sacrifice a creature. (You may sacrifice a creature in addition to any other costs as you cast this spell.)
Target creature gets -2/-2 until end of turn. If this spell was kicked, that creature gets -5/-5 until end of turn instead.",,Instant,,
Anthony Palumbo,3,,{1}{U}{B},Disinformation Campaign,,0.25,uncommon,"When Disinformation Campaign enters the battlefield, you draw a card and each opponent discards a card.
Whenever you surveil, return Disinformation Campaign to its owner's hand.",,Enchantment,,
Anthony Palumbo,2,,{1}{R/W},Fresh-Faced Recruit,2,0.15,common,"As long as it's your turn, Fresh-Faced Recruit has first strike.",1,Creature — Human Soldier,,
Anthony Palumbo,3,,{1}{R}{W},"Tajic, Legion's Edge",3,0.73,rare,"Haste
Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)
Prevent all noncombat damage that would be dealt to other creatures you control.
{R}{W}: Tajic, Legion's Edge gains first strike until end of turn.",2,Legendary Creature — Human Soldier,,
Anthony Palumbo,4,,{3}{W},Pterodon Knight,3,0.15,common,Pterodon Knight has flying as long as you control a Dinosaur.,3,Creature — Human Knight,,
Anthony Palumbo,2,,{1}{B},Seekers' Squire,1,0.25,uncommon,"When Seekers' Squire enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",2,Creature — Human Scout,,
Anthony Palumbo,1,,{1},Sentinel Totem,,0.25,uncommon,"When Sentinel Totem enters the battlefield, scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)
{T}, Exile Sentinel Totem: Exile all cards from all graveyards.",,Artifact,,
Anthony Palumbo,2,,{1}{W},Aegis of the Heavens,,0.25,uncommon,Target creature gets +1/+7 until end of turn.,,Instant,,
Anthony Palumbo,2,,{2},Field Creeper,2,0.15,common,,1,Artifact Creature — Scarecrow,,
Anthony Palumbo,1,,{U},Mist-Cloaked Herald,1,2.07,common,Mist-Cloaked Herald can't be blocked.,1,Creature — Merfolk Warrior,,
Anthony Palumbo,3,,{1}{G}{U},Gyre Engineer,1,0.24,uncommon,{T}: Add {G}{U}.,1,Creature — Vedalken Wizard,,
Anthony Palumbo,4,,{X}{X}{U}{U}{U}{U},Mass Manipulation,,1.27,rare,Gain control of X target creatures and/or planeswalkers.,,Sorcery,,
Anthony Palumbo,3,,{1}{W}{B},Mortify,,0.4,uncommon,Destroy target creature or enchantment.,,Instant,,
Anthony Palumbo,2,,{1}{W},Cleansing Ray,"Choose one —
• Destroy target Vampire.
• Destroy target enchantment.",Sorcery,,0.15,common,"Choose one —
• Destroy target Vampire.
• Destroy target enchantment.",,Sorcery
Anthony Palumbo,1,,{U},Mist-Cloaked Herald,Mist-Cloaked Herald can't be blocked.,Creature — Merfolk Warrior,1,0.42,common,Mist-Cloaked Herald can't be blocked.,1,Creature — Merfolk Warrior
Anthony Palumbo,5,,{3}{U}{U},Soul of the Rapids,"Flying
Hexproof (This creature can't be the target of spells or abilities your opponents control.)",Creature — Elemental,3,0.15,common,"Flying
Hexproof (This creature can't be the target of spells or abilities your opponents control.)",2,Creature — Elemental
Ash Wood,2,,{1}{B},Child of Night,2,0.15,common,Lifelink,1,Creature — Vampire,,
Austin Hsu,2,,{1}{B},Reassembling Skeleton,1,0.25,uncommon,{1}{B}: Return Reassembling Skeleton from your graveyard to the battlefield tapped.,1,Creature — Skeleton Warrior,,
Bastien L. Deharme,2,,{1}{B},Cast Down,,0.47,uncommon,Destroy target nonlegendary creature.,,Instant,,
Bastien L. Deharme,3,,{2}{W},Dub,,0.15,common,"Enchant creature
Enchanted creature gets +2/+2, has first strike, and is a Knight in addition to its other types.",,Enchantment — Aura,,
Bastien L. Deharme,3,,{2}{G},Krosan Druid,2,0.15,common,"Kicker {4}{G} (You may pay an additional {4}{G} as you cast this spell.)
When Krosan Druid enters the battlefield, if it was kicked, you gain 10 life.",3,Creature — Centaur Druid,,
Bastien L. Deharme,4,,{2}{U}{B},"Etrata, the Silencer",3,0.5,rare,"Etrata, the Silencer can't be blocked.
Whenever Etrata deals combat damage to a player, exile target creature that player controls and put a hit counter on that card. That player loses the game if they own three or more exiled cards with hit counters on them. Etrata's owner shuffles Etrata into their library.",5,Legendary Creature — Vampire Assassin,,
Bastien L. Deharme,6,,{4}{W}{W},Axis of Mortality,,0.68,mythic,"At the beginning of your upkeep, you may have two target players exchange life totals.",,Enchantment,,
Bastien L. Deharme,4,,{3}{W},Paladin of the Bloodstained,3,0.15,common,"When Paladin of the Bloodstained enters the battlefield, create a 1/1 white Vampire creature token with lifelink.",2,Creature — Vampire Knight,,
Bastien L. Deharme,1,,{W},Priest of the Wakening Sun,1,0.38,rare,"At the beginning of your upkeep, you may reveal a Dinosaur card from your hand. If you do, you gain 2 life.
{3}{W}{W}, Sacrifice Priest of the Wakening Sun: Search your library for a Dinosaur card, reveal it, put it into your hand, then shuffle your library.",1,Creature — Human Cleric,,
Bastien L. Deharme,3,,{2}{W},Ritual of Rejuvenation,,0.16,common,"You gain 4 life.
Draw a card.",,Instant,,
Bastien L. Deharme,2,,{X}{W}{W},Sanguine Sacrament,,0.4,rare,You gain twice X life. Put Sanguine Sacrament on the bottom of its owner's library.,,Instant,,
Bastien L. Deharme,5,,{3}{B}{B},Liliana's Contract,,0.49,rare,"When Liliana's Contract enters the battlefield, you draw four cards and you lose 4 life.
At the beginning of your upkeep, if you control four or more Demons with different names, you win the game.",,Enchantment,,
Bastien L. Deharme,4,4,{2}{B}{B},"Liliana, Untouched by Death",,5.64,mythic,"[+1]: Put the top three cards of your library into your graveyard. If at least one of them is a Zombie card, each opponent loses 2 life and you gain 2 life.
[−2]: Target creature gets -X/-X until end of turn, where X is the number of Zombies you control.
[−3]: You may cast Zombie cards from your graveyard this turn.",,Legendary Planeswalker — Liliana,,
Bastien L. Deharme,3,,{2}{U},Psychic Corrosion,,1.33,uncommon,"Whenever you draw a card, each opponent puts the top two cards of their library into their graveyard.",,Enchantment,,
Bastien L. Deharme,3,,{1}{W}{U},Dovin's Acuity,,0.24,uncommon,"When Dovin's Acuity enters the battlefield, you gain 2 life and draw a card.
Whenever you cast an instant spell during your main phase, you may return Dovin's Acuity to its owner's hand.",,Enchantment,,
Bastien L. Deharme,3,,{2}{W},Ministrant of Obligation,2,0.24,uncommon,"Afterlife 2 (When this creature dies, create two 1/1 white and black Spirit creature tokens with flying.)",1,Creature — Human Cleric,,
Bastien L. Deharme,2,,{1}{U},Sage's Row Savant,2,0.15,common,"When Sage's Row Savant enters the battlefield, scry 2.",1,Creature — Vedalken Wizard,,
Bastien L. Deharme,4,,{3}{W},Bishop of Binding,"When Bishop of Binding enters the battlefield, exile target creature an opponent controls until Bishop of Binding leaves the battlefield.
Whenever Bishop of Binding attacks, target Vampire gets +X/+X until end of turn, where X is the power of the exiled card.",Creature — Vampire Cleric,1,0.37,rare,"When Bishop of Binding enters the battlefield, exile target creature an opponent controls until Bishop of Binding leaves the battlefield.
Whenever Bishop of Binding attacks, target Vampire gets +X/+X until end of turn, where X is the power of the exiled card.",1,Creature — Vampire Cleric
Bastien L. Deharme,3,,,Tomb of the Dusk Rose,"(Transforms from Profane Procession.)
{T}: Add one mana of any color to your mana pool.
{2}{W}{B}, {T}: Put a creature card exiled with this permanent onto the battlefield under your control.",Legendary Land,,0.9,rare,"(Transforms from Profane Procession.)
{T}: Add one mana of any color.
{2}{W}{B}, {T}: Put a creature card exiled with this permanent onto the battlefield under your control.",,Legendary Land
Bastien L. Deharme,3,,{1}{W}{B},Profane Procession,"{3}{W}{B}: Exile target creature. Then if there are three or more cards exiled with Profane Procession, transform it.",Legendary Enchantment,,0.9,rare,"{3}{W}{B}: Exile target creature. Then if there are three or more cards exiled with Profane Procession, transform it.",,Legendary Enchantment
Bayard Wu,1,,{G},Arbor Armament,,0.15,common,Put a +1/+1 counter on target creature. That creature gains reach until end of turn.,,Instant,,
Bayard Wu,5,,{4}{B},Windgrace Acolyte,3,0.15,common,"Flying
When Windgrace Acolyte enters the battlefield, put the top three cards of your library into your graveyard and you gain 3 life.",2,Creature — Cat Warrior,,
Bayard Wu,5,,{4}{W},Imperial Ceratops,"Enrage — Whenever Imperial Ceratops is dealt damage, you gain 2 life.",Creature — Dinosaur,3,0.25,uncommon,"Enrage — Whenever Imperial Ceratops is dealt damage, you gain 2 life.",5,Creature — Dinosaur
Bayard Wu,4,,{2}{R}{G},Raging Regisaur,"Whenever Raging Regisaur attacks, it deals 1 damage to target creature or player.",Creature — Dinosaur,4,0.25,uncommon,"Whenever Raging Regisaur attacks, it deals 1 damage to any target.",4,Creature — Dinosaur
