artist,convertedManaCost,loyalty,manaCost,name,power,prices/paper/2019-07-21,rarity,text,toughness,type
Adam Paquette,0,,,Interplanar Beacon,,0.3,uncommon,"Whenever you cast a planeswalker spell, you gain 1 life.
{T}: Add {C}.
{1}, {T}: Add two mana of different colors. Spend this mana only to cast planeswalker spells.",,Land
Adam Paquette,0,,,Island,,0.19,common,({T}: Add {U}.),,Basic Land — Island
Adam Paquette,0,,,Karn's Bastion,,2.28,rare,"{T}: Add {C}.
{4}, {T}: Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",,Land
Adam Paquette,0,,,Mountain,,0.14,common,({T}: Add {R}.),,Basic Land — Mountain
Adam Paquette,8,,{6}{W}{W},Parhelion II,5,0.35,rare,"Flying, first strike, vigilance
Whenever Parhelion II attacks, create two 4/4 white Angel creature tokens with flying and vigilance that are attacking.
Crew 4 (Tap any number of creatures you control with total power 4 or more: This Vehicle becomes an artifact creature until end of turn.)",5,Legendary Artifact — Vehicle
Adam Paquette,0,,,Plains,,0.1,common,({T}: Add {W}.),,Basic Land — Plains
Adam Paquette,4,,{3}{W},Ravnica at War,,0.35,rare,Exile all multicolored permanents.,,Sorcery
Adam Paquette,0,,,Simic Guildgate,,0.2,common,"Simic Guildgate enters the battlefield tapped.
{T}: Add {G} or {U}.",,Land — Gate
Adam Paquette,4,,{2}{R}{W},Solar Blaze,,0.37,rare,Each creature deals damage to itself equal to its power.,,Sorcery
Adam Paquette,0,,,Swamp,,0.12,common,({T}: Add {B}.),,Basic Land — Swamp
Alayna Danner,3,,{3},Diamond Knight,1,0.2,uncommon,"Vigilance (Attacking doesn't cause this creature to tap.)
As Diamond Knight enters the battlefield, choose a color.
Whenever you cast a spell of the chosen color, put a +1/+1 counter on Diamond Knight.",1,Artifact Creature — Knight
Alayna Danner,2,,{2},Prismite,2,0.15,common,{2}: Add one mana of any color.,1,Artifact Creature — Golem
Alayna Danner,2,,{2},Prismite,2,0.15,common,{2}: Add one mana of any color.,1,Artifact Creature — Golem
Alayna Danner,2,,{1}{G},Return to Nature,,0.16,common,"Choose one —
• Destroy target artifact.
• Destroy target enchantment.
• Exile target card from a graveyard.",,Instant
Aleksi Briclot,2,,{1}{R},Chandra's Pyrohelix,,0.14,common,Chandra's Pyrohelix deals 2 damage divided as you choose among one or two targets.,,Instant
Aleksi Briclot,4,6,{2}{R/W}{R/W},"Nahiri, Storm of Stone",,0.25,uncommon,"As long as it's your turn, creatures you control have first strike and equip abilities you activate cost {1} less to activate.
−X: Nahiri, Storm of Stone deals X damage to target tapped creature.",,Legendary Planeswalker — Nahiri
Aleksi Briclot,1,,{R},Samut's Sprint,,0.16,common,Target creature gets +2/+1 and gains haste until end of turn. Scry 1.,,Instant
Aleksi Briclot,4,5,{2}{R/G}{R/G},"Samut, Tyrant Smasher",,0.25,uncommon,"Creatures you control have haste.
[−1]: Target creature gets +2/+1 and gains haste until end of turn. Scry 1.",,Legendary Planeswalker — Samut
Alex Konstad,1,,{B},Knight of the Ebon Legion,1,2.95,rare,"{2}{B}: Knight of the Ebon Legion gets +3/+3 and gains deathtouch until end of turn.
At the beginning of your end step, if a player lost 4 or more life this turn, put a +1/+1 counter on Knight of the Ebon Legion. (Damage causes loss of life.)",2,Creature — Vampire Knight
Alex Konstad,2,,{1}{U},Augur of Bolas,1,0.23,uncommon,"When Augur of Bolas enters the battlefield, look at the top three cards of your library. You may reveal an instant or sorcery card from among them and put it into your hand. Put the rest on the bottom of your library in any order.",3,Creature — Merfolk Wizard
Allen Williams,3,,{1}{B}{B},Murder,,0.17,common,Destroy target creature.,,Instant
Anastasia Ovchinnikova,3,,{2}{U},Cloudkin Seer,2,0.15,common,"Flying
When Cloudkin Seer enters the battlefield, draw a card.",1,Creature — Elemental Wizard
Andreas Rocha,0,,,Island,,0.15,common,({T}: Add {U}.),,Basic Land — Island
Andreas Rocha,0,,,Mountain,,0.18,common,({T}: Add {R}.),,Basic Land — Mountain
Andreas Rocha,0,,,Plains,,0.16,common,({T}: Add {W}.),,Basic Land — Plains
Anna Podedworna,2,,{1}{R},Goblin Bird-Grabber,2,0.15,common,{R}: Goblin Bird-Grabber gains flying until end of turn. Activate this ability only if you control a creature with flying.,1,Creature — Goblin
Anna Podedworna,3,,{2}{R},Nimble Birdsticker,2,1.25,common,Reach (This creature can block creatures with flying.),3,Creature — Goblin
Anna Podedworna,3,,{1}{U}{U},Phantom Warrior,2,3.98,common,Phantom Warrior can't be blocked.,2,Creature — Illusion Warrior
Anna Podedworna,1,,{B},Vampire of the Dire Moon,1,0.32,uncommon,"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
Lifelink (Damage dealt by this creature also causes you to gain that much life.)",1,Creature — Vampire
Anna Steinbauer,3,4,{1}{R}{R},"Chandra, Acolyte of Flame",,6.68,rare,"[0]: Put a loyalty counter on each red planeswalker you control.
[0]: Create two 1/1 red Elemental creature tokens. They gain haste. Sacrifice them at the beginning of the next end step.
[−2]: You may cast target instant or sorcery card with converted mana cost 3 or less from your graveyard. If that card would be put into your graveyard this turn, exile it instead.",,Legendary Planeswalker — Chandra
Anna Steinbauer,4,5,{3}{R},"Chandra, Novice Pyromancer",,0.32,uncommon,"[+1]: Elementals you control get +2/+0 until end of turn.
[−1]: Add {R}{R}.
[−2]: Chandra, Novice Pyromancer deals 2 damage to any target.",,Legendary Planeswalker — Chandra
Anna Steinbauer,5,,{4}{B},Epicure of Blood,4,0.15,common,"Whenever you gain life, each opponent loses 1 life.",4,Creature — Vampire
Anna Steinbauer,2,,{1}{B},Duskmantle Operative,2,0.14,common,Duskmantle Operative can't be blocked by creatures with power 4 or greater.,2,Creature — Human Rogue
Anna Steinbauer,4,4,{1}{U}{U}{U},"Jace, Wielder of Mysteries",,1.99,rare,"If you would draw a card while your library has no cards in it, you win the game instead.
[+1]: Target player puts the top two cards of their library into their graveyard. Draw a card.
[−8]: Draw seven cards. Then if your library has no cards in it, you win the game.",,Legendary Planeswalker — Jace
Anna Steinbauer,3,3,{2}{G},"Jiang Yanggu, Wildcrafter",,0.3,uncommon,"Each creature you control with a +1/+1 counter on it has ""{T}: Add one mana of any color.""
[−1]: Put a +1/+1 counter on target creature.",,Legendary Planeswalker — Yanggu
Anna Steinbauer,4,5,{2}{B/G}{B/G},"Vraska, Swarm's Eminence",,0.26,uncommon,"Whenever a creature you control with deathtouch deals damage to a player or planeswalker, put a +1/+1 counter on that creature.
[−2]: Create a 1/1 black Assassin creature token with deathtouch and ""Whenever this creature deals damage to a planeswalker, destroy that planeswalker.""",,Legendary Planeswalker — Vraska
Anthony Palumbo,6,,{4}{U}{U},Captivating Gyre,,0.22,uncommon,Return up to three target creatures to their owners' hands.,,Sorcery
Anthony Palumbo,4,,{3}{B},Dread Presence,3,1.19,rare,"Whenever a Swamp enters the battlefield under your control, choose one —
• You draw a card and you lose 1 life.
• Dread Presence deals 2 damage to any target and you gain 2 life.",3,Creature — Nightmare
Anthony Palumbo,1,,{W},Glaring Aegis,,0.15,common,"Enchant creature
When Glaring Aegis enters the battlefield, tap target creature an opponent controls.
Enchanted creature gets +1/+3.",,Enchantment — Aura
Antonio José Manzanedo,5,,{3}{B}{G},Moldervine Reclamation,,0.25,uncommon,"Whenever a creature you control dies, you gain 1 life and draw a card.",,Enchantment
Antonio José Manzanedo,3,,{1}{B}{B},Savage Gorger,1,0.36,common,"Flying
At the beginning of your end step, if an opponent lost life this turn, put a +1/+1 counter on Savage Gorger. (Damage causes loss of life.)",1,Creature — Vampire
Babyson Chen & Uzhen Lin,0,,,Island,,0.19,common,({T}: Add {U}.),,Basic Land — Island
Bastien L. Deharme,2,,{1}{W},Apostle of Purifying Light,2,0.2,uncommon,"Protection from black (This creature can't be blocked, targeted, dealt damage, enchanted, or equipped by anything black.)
{2}: Exile target card from a graveyard.",1,Creature — Human Cleric
Bastien L. Deharme,2,,{W}{B},Cruel Celebrant,1,0.3,uncommon,"Whenever Cruel Celebrant or another creature or planeswalker you control dies, each opponent loses 1 life and you gain 1 life.",2,Creature — Vampire
Bayard Wu,2,,{1}{R},Marauding Raptor,2,1.44,rare,"Creature spells you cast cost {1} less to cast.
Whenever another creature enters the battlefield under your control, Marauding Raptor deals 2 damage to it. If a Dinosaur is dealt damage this way, Marauding Raptor gets +2/+0 until end of turn.",3,Creature — Dinosaur
Bayard Wu,2,,{1}{W},Savannah Sage,2,0.38,common,"When Savannah Sage enters the battlefield, you gain 2 life.",2,Creature — Cat Cleric
Bayard Wu,2,,{R}{W},Skyknight Vanguard,1,0.2,uncommon,"Flying
Whenever Skyknight Vanguard attacks, create a 1/1 white Soldier creature token that's tapped and attacking.",2,Creature — Human Knight
Bayard Wu,3,,{2}{G},Vivien's Crocodile,3,0.3,common,Vivien's Crocodile gets +1/+1 as long as you control a Vivien planeswalker.,3,Creature — Crocodile Spirit
Bayard Wu,3,,{2}{R},Devouring Hellion,2,0.2,uncommon,"As Devouring Hellion enters the battlefield, you may sacrifice any number of creatures and/or planeswalkers. If you do, it enters with twice that many +1/+1 counters on it.",2,Creature — Hellion
Bayard Wu,2,,{X}{G}{G},Finale of Devastation,,10.86,mythic,"Search your library and/or graveyard for a creature card with converted mana cost X or less and put it onto the battlefield. If you search your library this way, shuffle it. If X is 10 or more, creatures you control get +X/+X and gain haste until end of turn.",,Sorcery
Ben Maier,4,,{3}{W},Inspiring Captain,3,0.15,common,"When Inspiring Captain enters the battlefield, creatures you control get +1/+1 until end of turn.",3,Creature — Human Knight
Bram Sels,3,,{2}{W},Steadfast Sentry,3,0.15,common,"Vigilance (Attacking doesn't cause this creature to tap.)
When Steadfast Sentry dies, put a +1/+1 counter on target creature you control.",2,Creature — Human Soldier
Bram Sels,2,,{1}{R},Unchained Berserker,1,0.2,uncommon,"Protection from white (This creature can't be blocked, targeted, dealt damage, enchanted, or equipped by anything white.)
Unchained Berserker gets +2/+0 as long as it's attacking.",1,Creature — Human Berserker
Bram Sels,2,,{G}{U},Neoform,,0.45,uncommon,"As an additional cost to cast this spell, sacrifice a creature.
Search your library for a creature card with converted mana cost equal to 1 plus the sacrificed creature's converted mana cost, put that card onto the battlefield with an additional +1/+1 counter on it, then shuffle your library.",,Sorcery
Caio Monteiro,2,,{1}{U},Brineborn Cutthroat,2,0.35,uncommon,"Flash (You may cast this spell any time you could cast an instant.)
Whenever you cast a spell during an opponent's turn, put a +1/+1 counter on Brineborn Cutthroat.",1,Creature — Merfolk Pirate
Caio Monteiro,3,,{2}{B},Gorging Vulture,2,0.15,common,"Flying
When Gorging Vulture enters the battlefield, put the top four cards of your library into your graveyard. You gain 1 life for each creature card put into your graveyard this way.",2,Creature — Bird
Caio Monteiro,1,,{R},Infuriate,,0.15,common,Target creature gets +3/+2 until end of turn.,,Instant
Caio Monteiro,2,,{1}{B},Sorcerer of the Fang,1,0.15,common,"{5}{B}, {T}: Sorcerer of the Fang deals 2 damage to target opponent or planeswalker.",3,Creature — Human Wizard
Carl Critchlow,3,,{2}{G},Loaming Shaman,3,0.23,uncommon,"When Loaming Shaman enters the battlefield, target player shuffles any number of target cards from their graveyard into their library.",2,Creature — Centaur Shaman
Chase Stone,3,4,{2}{B},"Sorin, Imperious Bloodlord",,15.89,mythic,"[+1]: Target creature you control gains deathtouch and lifelink until end of turn. If it's a Vampire, put a +1/+1 counter on it.
[+1]: You may sacrifice a Vampire. When you do, Sorin, Imperious Bloodlord deals 3 damage to any target and you gain 3 life.
[−3]: You may put a Vampire creature card from your hand onto the battlefield.",,Legendary Planeswalker — Sorin
Chase Stone,4,5,{2}{G}{U},"Tamiyo, Collector of Tales",,2,rare,"Spells and abilities your opponents control can't cause you to discard cards or sacrifice permanents.
[+1]: Choose a nonland card name, then reveal the top four cards of your library. Put all cards with the chosen name from among them into your hand and the rest into your graveyard.
[−3]: Return target card from your graveyard to your hand.",,Legendary Planeswalker — Tamiyo
Chase Stone,6,5,{4}{U}{B},"Tezzeret, Master of the Bridge",,,mythic,"Creature and planeswalker spells you cast have affinity for artifacts. (They cost {1} less to cast for each artifact you control.)
[+2]: Tezzeret, Master of the Bridge deals X damage to each opponent, where X is the number of artifacts you control. You gain X life.
[−3]: Return target artifact card from your graveyard to your hand.
[−8]: Exile the top ten cards of your library. Put all artifact cards from among them onto the battlefield.",,Legendary Planeswalker — Tezzeret
Chase Stone,3,5,{2}{R},"Tibalt, Rakish Instigator",,0.44,uncommon,"Your opponents can't gain life.
[−2]: Create a 1/1 red Devil creature token with ""When this creature dies, it deals 1 damage to any target.""",,Legendary Planeswalker — Tibalt
Chippy,4,,{3}{W},Master Splicer,1,0.2,uncommon,"When Master Splicer enters the battlefield, create a 3/3 colorless Golem artifact creature token.
Golems you control get +1/+1.",1,Creature — Human Artificer
Chris Ostrowski,0,,,Blast Zone,,5.15,rare,"Blast Zone enters the battlefield with a charge counter on it.
{T}: Add {C}.
{X}{X}, {T}: Put X charge counters on Blast Zone.
{3}, {T}, Sacrifice Blast Zone: Destroy each nonland permanent with converted mana cost equal to the number of charge counters on Blast Zone.",,Land
Chris Rahn,6,6,{4}{R}{R},"Chandra, Awakened Inferno",,24.98,mythic,"This spell can't be countered.
[+2]: Each opponent gets an emblem with ""At the beginning of your upkeep, this emblem deals 1 damage to you.""
[−3]: Chandra, Awakened Inferno deals 3 damage to each non-Elemental creature.
−X: Chandra, Awakened Inferno deals X damage to target creature or planeswalker. If a permanent dealt damage this way would die this turn, exile it instead.",,Legendary Planeswalker — Chandra
Chris Rahn,2,,{1}{W},Concordia Pegasus,1,0.25,common,Flying (This creature can't be blocked except by creatures with flying or reach.),3,Creature — Pegasus
Chris Rahn,2,,{2},Steel Overseer,1,2.5,rare,{T}: Put a +1/+1 counter on each artifact creature you control.,1,Artifact Creature — Construct
Chris Rahn,3,,{2}{W},Trusted Pegasus,2,1.81,common,"Flying (This creature can't be blocked except by creatures with flying or reach.)
Whenever Trusted Pegasus attacks, target attacking creature without flying gains flying until end of turn.",2,Creature — Pegasus
Chris Rahn,6,,{4}{R}{R},Volcanic Dragon,4,,uncommon,"Flying (This creature can't be blocked except by creatures with flying or reach.)
Haste (This creature can attack and {T} as soon as it comes under your control.)",4,Creature — Dragon
Chris Rahn,1,,{W},Charmed Stray,1,0.15,common,"Lifelink
When Charmed Stray enters the battlefield, put a +1/+1 counter on each other creature you control named Charmed Stray.",1,Creature — Cat
Chris Rahn,3,,{2}{W},Trusted Pegasus,2,0.14,common,"Flying (This creature can't be blocked except by creatures with flying or reach.)
Whenever Trusted Pegasus attacks, target attacking creature without flying gains flying until end of turn.",2,Creature — Pegasus
Chris Rallis,4,5,{2}{W}{W},"Ajani, Strength of the Pride",,6,mythic,"[+1]: You gain life equal to the number of creatures you control plus the number of planeswalkers you control.
[−2]: Create a 2/2 white Cat Soldier creature token named Ajani's Pridemate with ""Whenever you gain life, put a +1/+1 counter on Ajani's Pridemate.""
[0]: If you have at least 15 life more than your starting life total, exile Ajani, Strength of the Pride and each artifact and creature your opponents control.",,Legendary Planeswalker — Ajani
Chris Rallis,3,,{2}{R},Chandra's Spitfire,1,0.23,uncommon,"Flying
Whenever an opponent is dealt noncombat damage, Chandra's Spitfire gets +3/+0 until end of turn.",3,Creature — Elemental
Chris Rallis,6,4,{4}{B}{B},"Sorin, Vampire Lord",,,mythic,"[+1]: Up to one target creature gets +2/+0 until end of turn.
[−2]: Sorin, Vampire Lord deals 4 damage to any target. You gain 4 life.
[−8]: Until end of turn, each Vampire you control gains ""{T}: Gain control of target creature.""",,Legendary Planeswalker — Sorin
Chris Rallis,6,3,{4}{G}{G},"Vivien, Nature's Avenger",,,mythic,"[+1]: Put three +1/+1 counters on up to one target creature.
[−1]: Reveal cards from the top of your library until you reveal a creature card. Put that card into your hand and the rest on the bottom of your library in a random order.
[−6]: Target creature gets +10/+10 and gains trample until end of turn.",,Legendary Planeswalker — Vivien
Chris Rallis,1,,{W},Gideon's Sacrifice,,0.14,common,Choose a creature or planeswalker you control. All damage that would be dealt this turn to you and permanents you control is dealt to the chosen permanent instead (if it's still on the battlefield).,,Instant
Chris Rallis,6,6,{4}{B}{B},"Liliana, Dreadhorde General",,16.5,mythic,"Whenever a creature you control dies, draw a card.
[+1]: Create a 2/2 black Zombie creature token.
[−4]: Each player sacrifices two creatures.
[−9]: Each opponent chooses a permanent they control of each permanent type and sacrifices the rest.",,Legendary Planeswalker — Liliana
Chris Rallis,5,,{3}{B}{B},Massacre Girl,4,0.6,rare,"Menace
When Massacre Girl enters the battlefield, each other creature gets -1/-1 until end of turn. Whenever a creature dies this turn, each creature other than Massacre Girl gets -1/-1 until end of turn.",4,Legendary Creature — Human Assassin
Chris Rallis,5,5,{3}{G}{G},"Nissa, Who Shakes the World",,5.69,rare,"Whenever you tap a Forest for mana, add an additional {G}.
[+1]: Put three +1/+1 counters on up to one target noncreature land you control. Untap it. It becomes a 0/0 Elemental creature with vigilance and haste that's still a land.
[−8]: You get an emblem with ""Lands you control have indestructible."" Search your library for any number of Forest cards, put them onto the battlefield tapped, then shuffle your library.",,Legendary Planeswalker — Nissa
Chris Rallis,3,,{1}{G}{W},Pledge of Unity,,0.22,uncommon,Put a +1/+1 counter on each creature you control. You gain 1 life for each creature you control.,,Instant
Chris Rallis,3,4,{1}{W}{U},"Teferi, Time Raveler",,15.19,rare,"Each opponent can cast spells only any time they could cast a sorcery.
[+1]: Until your next turn, you may cast sorcery spells as though they had flash.
[−3]: Return up to one target artifact, creature, or enchantment to its owner's hand. Draw a card.",,Legendary Planeswalker — Teferi
Chris Seaman,4,,{2}{U}{U},Drawn from Dreams,,1.03,rare,Look at the top seven cards of your library. Put two of them into your hand and the rest on the bottom of your library in a random order.,,Sorcery
Chris Seaman,3,,{3},Icon of Ancestry,,2.26,rare,"As Icon of Ancestry enters the battlefield, choose a creature type.
Creatures you control of the chosen type get +1/+1.
{3}, {T}: Look at the top three cards of your library. You may reveal a creature card of the chosen type from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",,Artifact
Chris Seaman,4,,{2}{R}{R},Keldon Raider,4,0.15,common,"When Keldon Raider enters the battlefield, you may discard a card. If you do, draw a card.",3,Creature — Human Warrior
Chris Seaman,3,,{2}{U},Winged Words,,0.17,common,"This spell costs {1} less to cast if you control a creature with flying.
Draw two cards.",,Sorcery
Chris Seaman,2,,{1}{U},Sky Theater Strix,1,0.14,common,"Flying
Whenever you cast a noncreature spell, Sky Theater Strix gets +1/+0 until end of turn.",2,Creature — Bird
Christopher Moeller,4,,{2}{R}{R},Chandra's Outrage,,0.15,common,Chandra's Outrage deals 4 damage to target creature and 2 damage to that creature's controller.,,Instant
Christopher Moeller,4,,{3}{W},Griffin Protector,2,0.15,common,"Flying
Whenever another creature enters the battlefield under your control, Griffin Protector gets +1/+1 until end of turn.",3,Creature — Griffin
Christopher Moeller,2,,{1}{W},Moment of Heroism,,0.15,common,Target creature gets +2/+2 and gains lifelink until end of turn. (Damage dealt by the creature also causes its controller to gain that much life.),,Instant
Christopher Rush,2,,{1}{G},Canopy Spider,1,1.16,common,Reach (This creature can block creatures with flying.),3,Creature — Spider
Cliff Childs,0,,,Island,,0.19,common,({T}: Add {U}.),,Basic Land — Island
Cliff Childs,0,,,Swamp,,0.18,common,({T}: Add {B}.),,Basic Land — Swamp
Cliff Childs,0,,,Orzhov Guildgate,,0.17,common,"Orzhov Guildgate enters the battlefield tapped.
{T}: Add {W} or {B}.",,Land — Gate
Clint Cearley,4,,{2}{U}{U},Bone to Ash,,0.15,common,"Counter target creature spell.
Draw a card.",,Instant
Clint Cearley,5,,{3}{U}{U},Jace's Ruse,,0.42,rare,"Return up to two target creatures to their owner's hand. You may search your library and/or graveyard for a card named Jace, Arcane Strategist, reveal it, and put it into your hand. If you search your library this way, shuffle it.",,Sorcery
Clover.K,3,5,{2}{R},"Tibalt, Rakish Instigator",,,uncommon,"Your opponents can't gain life.
[−2]: Create a 1/1 red Devil creature token with ""When this creature dies, it deals 1 damage to any target.""",,Legendary Planeswalker — Tibalt
Cole Eastburn,1,,{B},Bone Splinters,,0.15,common,"As an additional cost to cast this spell, sacrifice a creature.
Destroy target creature.",,Sorcery
Craig J Spearing,5,,{3}{G}{G},Overcome,,0.22,uncommon,Creatures you control get +2/+2 and gain trample until end of turn. (They can deal excess combat damage to the player or planeswalker they're attacking.),,Sorcery
Craig J Spearing,2,,{1}{R},Heartfire,,0.15,common,"As an additional cost to cast this spell, sacrifice a creature or planeswalker.
Heartfire deals 4 damage to any target.",,Instant
Craig J Spearing,2,,{1}{B},Lazotep Reaver,1,0.15,common,"When Lazotep Reaver enters the battlefield, amass 1. (Put a +1/+1 counter on an Army you control. If you don't control one, create a 0/0 black Zombie Army creature token first.)",2,Creature — Zombie Beast
Cristi Balanescu,3,,{2}{W},Battalion Foot Soldier,2,0.15,common,"When Battalion Foot Soldier enters the battlefield, you may search your library for any number of cards named Battalion Foot Soldier, reveal them, put them into your hand, then shuffle your library.",2,Creature — Human Soldier
Cristi Balanescu,2,,{1}{B},Blood Burglar,2,0.15,common,"As long as it's your turn, Blood Burglar has lifelink.(Damage dealt by this creature also causes you to gain that much life.)",2,Creature — Vampire Rogue
Cristi Balanescu,1,,{U},Spectral Sailor,1,0.75,uncommon,"Flash (You may cast this spell any time you could cast an instant.)
Flying
{3}{U}: Draw a card.",1,Creature — Spirit Pirate
Cristi Balanescu,5,,{4}{W},Squad Captain,2,0.15,common,"Vigilance (Attacking doesn't cause this creature to tap.)
Squad Captain enters the battlefield with a +1/+1 counter on it for each other creature you control.",2,Creature — Human Soldier
Cristi Balanescu,3,,{1}{U}{B},Tomebound Lich,1,0.23,uncommon,"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
Lifelink (Damage dealt by this creature also causes you to gain that much life.)
Whenever Tomebound Lich enters the battlefield or deals combat damage to a player, draw a card, then discard a card.",3,Creature — Zombie Wizard
Cynthia Sheppard,3,5,{1}{U/B}{U/B},"Ashiok, Dream Render",,1.06,uncommon,"Spells and abilities your opponents control can't cause their controller to search their library.
[−1]: Target player puts the top four cards of their library into their graveyard. Then exile each opponent's graveyard.",,Legendary Planeswalker — Ashiok
Daarken,3,,{2}{B},Barony Vampire,3,0.15,common,,2,Creature — Vampire
Daarken,5,,{2}{W}{W}{W},Cavalier of Dawn,4,2.39,mythic,"Vigilance
When Cavalier of Dawn enters the battlefield, destroy up to one target nonland permanent. Its controller creates a 3/3 colorless Golem artifact creature token.
When Cavalier of Dawn dies, return target artifact or enchantment card from your graveyard to your hand.",6,Creature — Elemental Knight
Daarken,1,,{G},Healer of the Glade,1,0.16,common,"When Healer of the Glade enters the battlefield, you gain 3 life.",2,Creature — Elemental
Daarken,6,,{4}{R}{R},Immortal Phoenix,5,8.56,rare,"Flying (This creature can't be blocked except by creatures with flying or reach.)
When Immortal Phoenix dies, return it to its owner's hand.",3,Creature — Phoenix
Daarken,3,,{2}{B},Soul Salvage,,0.15,common,Return up to two target creature cards from your graveyard to your hand.,,Sorcery
Daarken,2,,{B}{B},Yarok's Fenlurker,1,0.2,uncommon,"When Yarok's Fenlurker enters the battlefield, each opponent exiles a card from their hand.
{2}{B}: Yarok's Fenlurker gets +1/+1 until end of turn.",1,Creature — Horror
Daarken,5,,{2}{B}{G}{U},"Yarok, the Desecrated",3,12.98,mythic,"Deathtouch, lifelink
If a permanent entering the battlefield causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.",5,Legendary Creature — Elemental Horror
Daarken,6,,{4}{B}{B},Command the Dreadhorde,,1.43,rare,Choose any number of target creature and/or planeswalker cards in graveyards. Command the Dreadhorde deals damage to you equal to the total converted mana cost of those cards. Put them onto the battlefield under your control.,,Sorcery
Daarken,4,,{3}{B},Davriel's Shadowfugue,,0.14,common,Target player discards two cards and loses 2 life.,,Sorcery
Daarken,3,3,{2}{B},"Davriel, Rogue Shadowmage",,0.4,uncommon,"At the beginning of each opponent's upkeep, if that player has one or fewer cards in hand, Davriel, Rogue Shadowmage deals 2 damage to them.
[−1]: Target player discards a card.",,Legendary Planeswalker — Davriel
Daarken,2,,{X}{B}{B},Finale of Eternity,,1.71,mythic,"Destroy up to three target creatures with toughness X or less. If X is 10 or more, return all creature cards from your graveyard to the battlefield.",,Sorcery
Daarken,3,,{2}{W},Prison Realm,,0.24,uncommon,"When Prison Realm enters the battlefield, exile target creature or planeswalker an opponent controls until Prison Realm leaves the battlefield.
When Prison Realm enters the battlefield, scry 1.",,Enchantment
Daarken,2,,{B}{B},Sorin's Thirst,,0.14,common,Sorin's Thirst deals 2 damage to target creature and you gain 2 life.,,Instant
Daarken,2,,{B}{B},The Elderspell,,2.9,rare,Destroy any number of target planeswalkers. Choose a planeswalker you control. Put two loyalty counters on it for each planeswalker destroyed this way.,,Sorcery
Daarken,6,4,{6},"Ugin, the Ineffable",,4.7,rare,"Colorless spells you cast cost {2} less to cast.
[+1]: Exile the top card of your library face down and look at it. Create a 2/2 colorless Spirit creature token. When that token leaves the battlefield, put the exiled card into your hand.
[−3]: Destroy target permanent that's one or more colors.",,Legendary Planeswalker — Ugin
Daisuke Izuka,3,3,{2}{G},"Jiang Yanggu, Wildcrafter",,,uncommon,"Each creature you control with a +1/+1 counter on it has ""{T}: Add one mana of any color.""
[−1]: Put a +1/+1 counter on target creature.",,Legendary Planeswalker — Yanggu
Dan Scott,3,,{2}{W},Aerial Assault,,0.15,common,Destroy target tapped creature. You gain 1 life for each creature you control with flying.,,Sorcery
Dan Scott,3,,{2}{R},Goblin Smuggler,2,0.15,common,"Haste (This creature can attack and {T} as soon as it comes under your control.)
{T}: Another target creature with power 2 or less can't be blocked this turn.",2,Creature — Goblin Rogue
